preguntas,respuestas
¿Puedo pedir certificado de materias aprobadas?,"Sí, desde autogestión en la sección de certificados."
¿Qué es el número de legajo?,"Es tu número único como alumno, aparece en tu perfil en autogestión."
¿Qué hago si tengo deuda con la facultad?,Debés regularizarla en Tesorería para poder cursar o rendir.
¿Cómo me uno a un grupo de investigación?,Consultá con tu docente o en la página de investigación de UADE.
¿Existen actividades extracurriculares?,"Sí, como deportes, talleres, idiomas y clubes."
¿Dónde me anoto para deportes?,Desde el portal de deportes de UADE o en el campus.
¿Qué beneficios tengo con la credencial UADE?,"Descuentos en locales, acceso a eventos y servicios internos."
¿Cómo me postulo a una beca?,"Desde el sistema de becas en autogestión, cumpliendo los requisitos."
¿Puedo hacer voluntariado en UADE?,"Sí, la universidad promueve actividades sociales y solidarias."
¿Dónde están los comedores universitarios?,Podés encontrarlos en planta baja o consultar en la página de Servicios.
¿UADE ofrece orientación vocacional?,"Sí, mediante el Departamento de Orientación al Estudiante."
¿Qué hago si tengo problemas personales o emocionales?,Podés pedir ayuda en el área de Asistencia Psicológica.
¿Dónde veo las actividades culturales?,En la cartelera del campus virtual o redes sociales de UADE.
¿Cómo accedo al WiFi de UADE?,"Con tu usuario de estudiante, seleccionando la red institucional."
¿Qué hago si no puedo entrar al campus virtual?,"Revisá tus credenciales, y si el problema persiste, escribí a soporte."
¿Dónde descargo mi horario de clases?,"Desde autogestión, en la sección de materias inscriptas."
¿Hay una app móvil de UADE?,"Sí, podés buscarla como 'UADE' en tu tienda de aplicaciones."
¿Puedo imprimir en la universidad?,"Sí, en los centros de impresión habilitados con tu usuario."
¿Dónde están las aulas de informática?,En los pisos indicados en el plano de tu sede.
¿Cómo me doy de baja de una materia?,Desde el sistema dentro del plazo estipulado.
¿Cómo accedo a la biblioteca digital?,Ingresando desde el campus virtual con tu cuenta.
¿UADE ofrece Microsoft Office gratis?,"Sí, podés descargarlo desde la sección de beneficios tecnológicos."
¿Puedo usar computadoras en la universidad?,"Sí, hay laboratorios disponibles para estudiantes."
¿Cómo accedo a las ofertas laborales?,Desde el portal de empleos de UADE en autogestión.
¿UADE tiene bolsa de trabajo?,"Sí, con convenios con empresas e instituciones."
¿Cómo armo mi CV con ayuda de la facultad?,Podés asistir a talleres o descargar plantillas desde la web.
¿Se pueden hacer pasantías mientras curso?,"Sí, si cumplís con los requisitos académicos."
¿Dónde consulto por entrevistas laborales?,En la Oficina de Empleabilidad o en el portal de empleos.
¿UADE conecta con empresas del exterior?,"Sí, mediante ferias de empleo y convenios internacionales."
¿Cómo simulo una entrevista laboral?,A través de simulacros organizados por el área de empleabilidad.
¿Qué debo saber sobre el convenio de pasantías?,Está disponible en el portal de empleos con toda la normativa.
¿Puedo pedir recomendación a un docente?,"Sí, si tu desempeño fue bueno y el docente lo autoriza."
¿Dónde consigo mi certificado de pasantía?,La empresa debe enviarlo y vos podés retirarlo en UADE.
